model,display_model,architecture,domain,epsilon,kind,control_index,layer,row,baseline_loss,perturbed_loss,absolute_delta_loss,relative_loss_change
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,1.0,control,4,1,1471,5.258974985957734,5.258615925557207,-0.00035906040052768873,-6.82757384255363e-05
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,1.0,control,5,1,2581,5.258974985957734,5.259035550858691,6.056490095662781e-05,1.1516483938095415e-05
GenomeOcean-4B,GenomeOcean-4B,decoder,genomic,1.0,candidate,,1,2604,5.258974985957734,5.299159477690169,0.040184491732434324,0.007641126234624247
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,0.5,control,1,21,35,3.1279006390655577,3.1287234646373534,0.0008228255717956934,0.00026306000948978604
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,0.5,control,2,21,488,3.1279006390655577,3.1280453365796235,0.00014469751406576137,4.6260265514376735e-05
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,0.5,control,3,21,620,3.1279006390655577,3.1278866786172945,-1.3960448263183878e-05,-4.463200681257728e-06
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,0.5,control,4,21,714,3.1279006390655577,3.1278941222786205,-6.516786937194041e-06,-2.0834379634069494e-06
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,0.5,control,5,21,763,3.1279006390655577,3.1280474005473335,0.0001467614817758367,4.692012269919189e-05
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,0.5,candidate,,21,62,3.1279006390655577,3.1440530783696183,0.01615243930406063,0.005163987341006483
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,1.0,control,1,21,35,3.1279006390655577,3.1309635767031554,0.0030629376375976847,0.0009792311173006825
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,1.0,control,2,21,488,3.1279006390655577,3.1282988319471623,0.00039819288160458655,0.00012730355837759104
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,1.0,control,3,21,620,3.1279006390655577,3.127909716701321,9.077635763077296e-06,2.9021496558116972e-06
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,1.0,control,4,21,714,3.1279006390655577,3.1279876601486056,8.702108304792233e-05,2.7820923069320827e-05
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,1.0,control,5,21,763,3.1279006390655577,3.128273347679183,0.00037270861362515006,0.00011915615508058293
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,decoder,text,1.0,candidate,,21,62,3.1279006390655577,3.145279352296355,0.017378713230797427,0.005556031100779856
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,0.5,control,1,26,443,2.7555732479207435,2.755623394691781,5.014677103742926e-05,1.8198308128905015e-05
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,0.5,control,2,26,571,2.7555732479207435,2.75552676087023,-4.6487050513466244e-05,-1.6870192272531205e-05
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,0.5,control,3,26,930,2.7555732479207435,2.755575512551981,2.2646312376473077e-06,8.218367047060414e-07
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,0.5,control,4,26,1118,2.7555732479207435,2.7556005190496577,2.727112891420802e-05,9.896717111325504e-06
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,0.5,control,5,26,1343,2.7555732479207435,2.7556444356959395,7.118777519599107e-05,2.583410738571613e-05
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,0.5,candidate,,26,408,2.7555732479207435,2.7720830594116928,0.01650981149094921,0.005991425378877851
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,1.0,control,1,26,443,2.7555732479207435,2.755706555390778,0.0001333074700342607,4.837740028680047e-05
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,1.0,control,2,26,571,2.7555732479207435,2.7555229291523973,-5.031876834626914e-05,-1.8260726106351147e-05
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,1.0,control,3,26,930,2.7555732479207435,2.7556208625091734,4.7614588429834015e-05,1.7279376792383317e-05
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,1.0,control,4,26,1118,2.7555732479207435,2.7556512964774953,7.804855675175304e-05,2.832389115790904e-05
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,1.0,control,5,26,1343,2.7555732479207435,2.7557605147688355,0.00018726684809200478,6.795930691855483e-05
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,decoder,text,1.0,candidate,,26,408,2.7555732479207435,2.7734308112157535,0.01785756329500998,0.006480525715832325
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,0.5,control,1,30,94,2.611140428158635,2.611174655623165,3.422746453018988e-05,1.3108243494329004e-05
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,0.5,control,2,30,128,2.611140428158635,2.6110756329500977,-6.479520853730492e-05,-2.481490763137478e-05
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,0.5,control,3,30,147,2.611140428158635,2.6111862845523484,4.5856393713350485e-05,1.7561825943497115e-05
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,0.5,control,4,30,668,2.611140428158635,2.6111227124357876,-1.7715722847366777e-05,-6.7846687433275386e-06
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,0.5,control,5,30,1146,2.611140428158635,2.61118249105614,4.206289750507963e-05,1.6109013920305393e-05
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,0.5,candidate,,30,318,2.611140428158635,2.6643236014707683,0.05318317331213329,0.02036779513602715
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,1.0,control,1,30,94,2.611140428158635,2.6112244870658023,8.405890716733921e-05,3.21924115075715e-05
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,1.0,control,2,30,128,2.611140428158635,2.61103139142001,-0.00010903673862516783,-4.175828210896342e-05
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,1.0,control,3,30,147,2.611140428158635,2.6112503726608365,0.00010994450220147556,4.210593234122148e-05
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,1.0,control,4,30,668,2.611140428158635,2.6111240024156066,-1.642574302840316e-05,-6.290639465908206e-06
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,1.0,control,5,30,1146,2.611140428158635,2.6112398617141634,9.943355552843869e-05,3.8080508599286175e-05
Qwen/Qwen2.5-3B,Qwen2.5-3B,decoder,text,1.0,candidate,,30,318,2.611140428158635,2.694057712741561,0.0829172845829258,0.03175519925651747
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,0.5,control,1,11,294,3.3001462359344425,3.3000418240123532,-0.00010441192208920924,-3.1638574361431237e-05
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,0.5,control,2,11,320,3.3001462359344425,3.2999921645670254,-0.0001540713674170746,-4.6686224307102264e-05
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,0.5,control,3,11,402,3.3001462359344425,3.30029010212818,0.00014386619373762954,4.3593884468241926e-05
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,0.5,control,4,11,441,3.3001462359344425,3.300168480919765,2.2244985322661393e-05,6.740605940561505e-06
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,0.5,control,5,11,448,3.3001462359344425,3.300191614557852,4.537862340958654e-05,1.3750488664856847e-05
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,0.5,candidate,,11,507,3.3001462359344425,3.4249193905944226,0.12477315465998018,0.03780837142953165
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,1.0,control,1,11,294,3.3001462359344425,3.3000206778987278,-0.00012555803571467905,-3.804620363410262e-05
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,1.0,control,2,11,320,3.3001462359344425,3.299898598030822,-0.000247637903620479,-7.50384637274596e-05
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,1.0,control,3,11,402,3.3001462359344425,3.300536946933097,0.00039071099865450876,0.0001183920259048394
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,1.0,control,4,11,441,3.3001462359344425,3.3002795720706946,0.0001333361362521046,4.040309935367159e-05
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,decoder,text,1.0,control,5,11,448,3.3001462359344425,3.3003231065007337,0.00017687056629123177,5.3594766306212044e-05
