cohort	n	predictor	endpoint	spearman_rho	p_value	ci95_lo	ci95_hi
text_encoder	6	activation_ratio	R_cand_eps1.0	0.5428571428571429	0.26570262390670557	-0.9999999999999999	0.8000000000000002
text_encoder	6	activation_ratio	G_eps0.5	0.028571428571428574	0.9571545189504373	-0.9999999999999999	1.0
text_encoder	6	activation_ratio	G_eps1.0	0.5428571428571429	0.26570262390670557	-0.9999999999999999	0.8000000000000002
text_encoder	6	activation_max	R_cand_eps0.5	0.6	0.20799999999999982	-0.6363636363636362	1.0
text_encoder	6	activation_max	R_cand_eps1.0	0.7714285714285715	0.07239650145772594	-0.0909090909090909	1.0
text_encoder	6	activation_max	G_eps0.5	0.6	0.20799999999999982	-0.6363636363636362	1.0
text_encoder	6	activation_max	G_eps1.0	0.7714285714285715	0.07239650145772594	-0.0909090909090909	1.0
text_encoder	6	ratio_median_24	R_cand_eps0.5	0.028571428571428574	0.9571545189504373	-0.9999999999999999	1.0
text_encoder	6	ratio_median_24	R_cand_eps1.0	0.5428571428571429	0.26570262390670557	-0.9999999999999999	0.8000000000000002
text_encoder	6	ratio_median_24	G_eps0.5	0.028571428571428574	0.9571545189504373	-0.9999999999999999	1.0
text_encoder	6	ratio_median_24	G_eps1.0	0.5428571428571429	0.26570262390670557	-0.9999999999999999	0.8000000000000002
text_encoder	6	ratio_cv_24	R_cand_eps0.5	0.8285714285714287	0.04156268221574334	0.0	1.0
text_encoder	6	ratio_cv_24	R_cand_eps1.0	0.4285714285714286	0.3965014577259474	-0.9393939393939392	0.9393939393939392
text_encoder	6	ratio_cv_24	G_eps0.5	0.8285714285714287	0.04156268221574334	0.0	1.0
text_encoder	6	ratio_cv_24	G_eps1.0	0.4285714285714286	0.3965014577259474	-0.9393939393939392	0.9393939393939392
text_encoder	6	rank_median_24	R_cand_eps0.5	nan	nan		
text_encoder	6	rank_median_24	R_cand_eps1.0	nan	nan		
text_encoder	6	rank_median_24	G_eps0.5	nan	nan		
text_encoder	6	rank_median_24	G_eps1.0	nan	nan		
text_encoder	6	q1	R_cand_eps0.5	-0.4285714285714286	0.3965014577259474	-1.0	0.7419354838709679
text_encoder	6	q1	R_cand_eps1.0	-0.3714285714285715	0.46847813411078715	-1.0	0.6000000000000001
text_encoder	6	q1	G_eps0.5	-0.4285714285714286	0.3965014577259474	-1.0	0.7419354838709679
text_encoder	6	q1	G_eps1.0	-0.3714285714285715	0.46847813411078715	-1.0	0.6000000000000001
text_encoder	6	layer_relative_frobenius	R_cand_eps0.5	0.028571428571428574	0.9571545189504373	-0.9999999999999999	1.0
text_encoder	6	layer_relative_frobenius	R_cand_eps1.0	0.5428571428571429	0.26570262390670557	-0.9999999999999999	0.8000000000000002
text_encoder	6	layer_relative_frobenius	G_eps0.5	0.028571428571428574	0.9571545189504373	-0.9999999999999999	1.0
text_encoder	6	layer_relative_frobenius	G_eps1.0	0.5428571428571429	0.26570262390670557	-0.9999999999999999	0.8000000000000002
