model	epsilon	candidate_R	R_random_ctrl1	R_random_ctrl2	R_random_ctrl3	R_random_ctrl4	R_random_ctrl5	R_topnorm_rank2	R_topnorm_rank3	R_topnorm_rank4	R_topnorm_rank5	R_topnorm_rank6	median_random_control_R	median_topnorm_control_R	causal_random_control_gap	causal_topnorm_control_gap
GenomeOcean-4B	1.0	0.007641126234624247	-4.3706997226805605e-06	-2.0574020575640092e-05	-1.30559581011994e-05	-6.82757384255363e-05	1.1516483938095415e-05	0.005340990379857566	0.09168233236385218	0.004595482179954861	0.008654232375088843	0.005201104725848349	-1.30559581011994e-05	0.005340990379857566	0.0076541821927254465	0.002300135854766681
HuggingFaceTB/SmolLM2-1.7B	0.5	0.03905575617362741	-6.545614582564039e-06	4.55013409000985e-06	-8.369322943997335e-07	-1.5832273797833984e-05	-1.188151480073741e-05	0.011956659625593046	2.02207132263919	-0.0001330101044773265	-3.613793243589887e-05	1.602231955898918e-05	-6.545614582564039e-06	1.602231955898918e-05	0.03906230178820997	0.03903973385406842
HuggingFaceTB/SmolLM2-1.7B	1.0	6.988738472947954	-8.076944850709427e-06	1.3876995293121746e-05	2.7483540848555127e-06	-2.6547930948097482e-05	-1.807993039651355e-05	0.022074498596237883	2.8718114149597667	5.300083901553244e-05	-3.567012748524541e-05	6.076713214105126e-05	-8.076944850709427e-06	6.076713214105126e-05	6.988746549892805	6.988677705815813
HuggingFaceTB/SmolLM2-135M	0.5	0.03780837142953165	-3.1638574361431237e-05	-4.6686224307102264e-05	4.3593884468241926e-05	6.740605940561505e-06	1.3750488664856847e-05	0.004551261184744138	0.0038222999767460754	-4.782124042764647e-05	0.0016355582297667706	0.0002914009117144238	6.740605940561505e-06	0.0016355582297667706	0.03780163082359109	0.036172813199764876
HuggingFaceTB/SmolLM2-135M	1.0	3.1341752821146263	-3.804620363410262e-05	-7.50384637274596e-05	0.0001183920259048394	4.040309935367159e-05	5.3594766306212044e-05	0.010903486035236465	0.007223404736579711	0.00038456488797970973	0.004176723237645929	0.0013564629775229592	4.040309935367159e-05	0.004176723237645929	3.1341348790152725	3.1299985588769803
HuggingFaceTB/SmolLM2-360M	0.5	0.022680901177107363	1.3331685505027129e-05	1.9309389760267522e-05	-8.857986967881517e-06	1.0505687499059314e-06	0.00011752639162009029	0.006480438124082308	0.0027598472994170694	0.000718330374321764	0.0024468959609919563	3.780131569071546e-05	1.3331685505027129e-05	0.0024468959609919563	0.022667569491602337	0.020234005216115406
HuggingFaceTB/SmolLM2-360M	1.0	0.5915447008237732	3.85740744674044e-05	4.798768138201671e-05	5.045284574301409e-06	1.371167845723128e-05	0.00025465275584639097	0.019806778182080764	0.009248875180148178	0.0024513792391833867	0.006444731559455412	8.722275199313501e-05	3.85740744674044e-05	0.006444731559455412	0.5915061267493058	0.5850999692643177
Llama-7B	0.5	0.03855088724231734	-2.1194014786478862e-06	-9.092572809449384e-06	7.100846118669469e-06	1.5727405952440314e-05	2.853531508888723e-06	-0.0008515206139583852	2.852893134957295e-05	-0.0009168901053477756	-5.982840559576221e-05	-0.00011446044732521884	2.853531508888723e-06	-0.00011446044732521884	0.03854803371080845	0.03866534768964256
Llama-7B	1.0	3.007945593585156	-3.5940452784438422e-06	-1.588699943727528e-05	1.6235977190741512e-05	3.338057328855587e-05	8.801048710602857e-06	6.340117174309251e-05	0.001319806200907375	-0.0009461957249902121	-6.839751177491334e-05	-0.00014544073460193597	8.801048710602857e-06	-6.839751177491334e-05	3.0079367925364453	3.008013991096931
Mistral-7B	0.5	3.013789457796915	1.7121785923554652e-06	-1.5006996435873698e-05	5.598672476721859e-05	4.435213572215003e-06	-3.740385091803032e-06	-0.0011759528296053964	-0.0008322638223826832	-0.0007206388693757244	-0.0002468372765834784	0.0003036313877158928	1.7121785923554652e-06	-0.0007206388693757244	3.013787745618323	3.014510096666291
